Timestamp,Market,Side,Action,Price,Size,Total_Value,PnL,Start_Balance,Current_Balance,BTC_Price,Strike_Price,UP_Bid,UP_Ask,DOWN_Bid,DOWN_Ask,RSI,BB_Upper,BB_Lower,BB_Middle,BB_Width,BB_PctB,ATR,Stoch_K,VWAP,MACD,CCI,MFI,ROC,Pivot
1/27/2026 14:35,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,99.81,99.81,89130,89146.26,0.43,0.44,0.56,0.57,33.4038,89392.1045,89147.1385,89269.6215,0.0027,-0.07,38.0343,0,89238.6351,-42.7667,-84.916,3.6265,-0.1802,87922.8133
1/27/2026 14:35,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,99.81,99.81,89149.27,89146.26,0.5,0.51,0.49,0.5,34.8424,89388.6677,89152.5023,89270.585,0.0026,-0.0137,36.6579,0,89238.6351,-41.2295,-75.9701,3.6265,-0.1586,87922.8133
1/27/2026 14:35,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,99.81,99.81,89152,89146.26,0.49,0.5,0.5,0.51,35.0563,89388.2185,89153.2245,89270.7215,0.0026,-0.0052,36.4629,0,89238.6351,-41.0117,-74.6923,3.6265,-0.1555,87922.8133
1/27/2026 14:35,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,99.81,99.81,89151.96,89146.26,0.49,0.5,0.5,0.51,35.0563,89388.2185,89153.2245,89270.7215,0.0026,-0.0052,36.4629,0,89238.6351,-41.0117,-74.6923,3.6265,-0.1555,87922.8133
1/27/2026 14:35,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,99.81,99.81,89115.56,89146.26,0.39,0.4,0.6,0.61,32.8457,89393.6471,89144.8029,89269.225,0.0028,-0.0914,40.4536,0,89237.9858,-43.3993,-82.5885,3.5804,-0.189,87922.8133
1/27/2026 14:35,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,99.81,99.81,89121.39,89146.26,0.4,0.41,0.59,0.6,32.7987,89393.7827,89144.5993,89269.191,0.0028,-0.0931,40.5022,0,89237.9817,-43.4536,-82.9031,3.5804,-0.1898,87922.8133
1/27/2026 14:36,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,99.81,99.81,89122,89146.26,0.4,0.41,0.59,0.6,33.869,89377.4917,89149.1043,89263.298,0.0026,-0.1187,39.9715,0,89238.6462,-40.4449,-78.974,4.8549,-0.1891,87922.8133
1/27/2026 14:36,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,99.81,99.81,89119.3,89146.26,0.39,0.4,0.6,0.61,33.5967,89378.3515,89147.8405,89263.096,0.0026,-0.1296,40.2601,0,89238.6462,-40.7672,-80.8688,4.8549,-0.1936,87922.8133
1/27/2026 14:36,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,99.81,99.81,89108.72,89146.26,0.35,0.36,0.64,0.65,32.9902,89380.3861,89144.8819,89262.634,0.0026,-0.1536,40.9201,0,89238.6274,-41.5043,-89.8355,4.8534,-0.204,87922.8133
1/27/2026 14:36,btc-updown-15m-1769549400,UP,SELL,0.26,4.63,1.2,-0.05,100,101.02,89098.63,,,,,,32.3524,89382.7107,89141.5483,89262.1295,0.0027,-0.178,41.6408,0,89238.6259,-42.3092,-94.476,4.8534,-0.2153,87922.8133
1/27/2026 14:36,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89073.74,89146.26,0.22,0.23,0.77,0.78,30.8803,89388.8558,89132.9152,89260.8855,0.0029,-0.2312,43.418,0,89238.6224,-44.2939,-105.7718,4.8534,-0.2432,87922.8133
1/27/2026 14:36,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89040.8,89146.26,0.17,0.18,0.82,0.83,29.1253,89397.7653,89120.7107,89259.238,0.0031,-0.2884,45.7715,0,89238.6176,-46.9224,-120.4182,4.8534,-0.2801,87922.8133
1/27/2026 14:36,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89049.09,89146.26,0.17,0.18,0.82,0.83,29.5478,89395.4505,89123.8545,89259.6525,0.003,-0.2753,45.1794,0,89238.6188,-46.2611,-116.7662,4.8534,-0.2708,87922.8133
1/27/2026 14:37,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89084.01,89146.26,0.25,0.26,0.74,0.75,29.5234,89373.8124,89132.9276,89253.37,0.0027,-0.2944,41.9835,0,89238.6456,-43.8169,-106.0566,4.8534,-0.2482,87922.8133
1/27/2026 14:37,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89094.68,89146.26,0.27,0.28,0.72,0.73,31.4606,89364.9385,89145.0715,89255.005,0.0025,-0.2291,39.6478,0,89238.6456,-41.2084,-91.1866,4.8534,-0.2116,87922.8133
1/27/2026 14:37,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89077.18,89146.26,0.23,0.24,0.76,0.77,30.3922,89369.5816,89138.6764,89254.129,0.0026,-0.2663,40.8992,0,89238.6456,-42.606,-99.1982,4.8534,-0.2312,87922.8133
1/27/2026 14:37,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89077.18,89146.26,0.24,0.25,0.75,0.76,30.3922,89369.5816,89138.6764,89254.129,0.0026,-0.2663,40.8992,0,89238.6456,-42.606,-99.1982,4.8534,-0.2312,87922.8133
1/27/2026 14:37,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89094.69,89146.26,0.3,0.31,0.69,0.7,31.4599,89364.941,89145.068,89255.0045,0.0025,-0.2291,39.6485,0,89238.6456,-41.2092,-91.1912,4.8534,-0.2116,87922.8133
1/27/2026 14:38,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89101.96,89146.26,0.31,0.32,0.68,0.69,31.9282,89363.0886,89147.6514,89255.37,0.0024,-0.2119,39.1264,0,89238.6456,-40.626,-87.8177,4.8534,-0.2034,87922.8133
1/27/2026 14:38,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89101.99,89146.26,0.29,0.3,0.7,0.71,31.2662,89351.871,89149.068,89250.4695,0.0023,-0.2321,37.0262,0,89238.0679,-39.2022,-86.3138,4.8534,-0.1413,87922.8133
1/27/2026 14:38,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89105.02,89146.26,0.3,0.31,0.69,0.7,31.471,89351.0932,89150.1488,89250.621,0.0023,-0.2246,36.8098,0,89238.0679,-38.9605,-84.8694,4.8534,-0.1379,87922.8133
1/27/2026 14:38,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89105.66,89146.26,0.3,0.31,0.69,0.7,31.5153,89350.9277,89150.3793,89250.6535,0.0022,-0.2229,36.7634,0,89237.6706,-38.9086,-88.5191,4.8249,-0.1371,87922.8133
1/27/2026 14:38,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89072,89146.26,0.21,0.22,0.78,0.79,30.0495,89356.9132,89142.1408,89249.527,0.0024,-0.2747,38.3727,0,89237.6075,-40.7059,-99.1172,4.8249,-0.1624,87922.8133
1/27/2026 14:38,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89066.01,89146.26,0.2,0.21,0.79,0.8,29.1387,89361.1902,89136.3498,89248.77,0.0025,-0.304,39.4541,0,89237.565,-41.9136,-106.1383,4.8249,-0.1794,87922.8133
1/27/2026 14:39,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89063.1,89146.26,0.17,0.18,0.82,0.83,28.1843,89360.8618,89131.7312,89246.2965,0.0026,-0.2995,37.7454,0,89237.8699,-41.8674,-112.8984,4.8249,-0.2246,87922.8133
1/27/2026 14:39,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89079.19,89146.26,0.21,0.22,0.78,0.79,28.3564,89360.0309,89132.8531,89246.442,0.0025,-0.2942,37.5375,0,89237.8699,-41.6352,-111.4866,4.8249,-0.2214,87922.8133
1/27/2026 14:39,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89078.86,89146.26,0.18,0.19,0.81,0.82,29.142,89356.4427,89137.7263,89247.0845,0.0025,-0.2691,36.6196,0,89237.8699,-40.6102,-105.2128,4.8249,-0.207,87922.8133
1/27/2026 14:39,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89064.01,89146.26,0.15,0.16,0.84,0.85,28.2379,89360.6012,89132.0828,89246.342,0.0026,-0.2979,37.6804,0,89237.8699,-41.7948,-112.4573,4.8249,-0.2236,87922.8133
1/27/2026 14:39,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89058,89146.26,0.13,0.14,0.86,0.87,27.8877,89362.3334,89129.7496,89246.0415,0.0026,-0.3085,38.1096,0,89237.8699,-42.2742,-115.365,4.8249,-0.2303,87922.8133
1/27/2026 14:39,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89043.95,89146.26,0.1,0.11,0.89,0.9,27.102,89366.4823,89124.1957,89245.339,0.0027,-0.3312,39.1132,0,89237.8699,-43.395,-122.1088,4.8249,-0.2461,87922.8133
