Timestamp,Market,Side,Action,Price,Size,Total_Value,PnL,Start_Balance,Current_Balance,UP_Bid,UP_Ask,DOWN_Bid,DOWN_Ask,BTC_Price,Strike_Price,RSI,BB_Upper,BB_Lower,BB_Middle,BB_Width,BB_PctB,ATR,Stoch_K,VWAP,MACD,CCI,MFI,ROC,Pivot
2026-01-22 14:46:22,btc-updown-15m-1769118300,N/A,STATUS,0.0000,0.00,0.00,0.00,83.50,83.50,0.24,0.25,0.76,0.76,89177.5,89290.3,13.9996,89740.0824,89302.4546,89521.2685,0.0049,-0.2855,35.3792,0.0,89383.209,-57.4713,-212.0323,14.1117,-0.4,89137.2333
2026-01-22 14:46:33,btc-updown-15m-1769118300,N/A,STATUS,0.0000,0.00,0.00,0.00,83.50,83.50,0.28,0.31,0.69,0.72,89208.27,89290.3,14.9297,89731.6493,89313.9647,89522.807,0.0047,-0.253,33.1813,0.0,89383.209,-55.0167,-205.9948,14.1117,-0.3656,89137.2333
2026-01-22 14:46:34,btc-updown-15m-1769118300,UP,SELL,0.3100,65.94,20.44,3.94,100.00,103.94,0.28,0.31,0.69,0.72,89208.27,89290.3,14.9297,89731.6493,89313.9647,89522.807,0.0047,-0.253,33.1813,0.0,89383.209,-55.0167,-205.9948,14.1117,-0.3656,89137.2333
2026-01-22 14:46:34,btc-updown-15m-1769118300,UP,BUY,0.3300,5.00,1.65,0.00,100.00,102.29,0.28,0.31,0.69,0.72,89208.27,89290.3,14.9297,89731.6493,89313.9647,89522.807,0.0047,-0.253,33.1813,0.0,89383.209,-55.0167,-205.9948,14.1117,-0.3656,89137.2333
2026-01-22 14:46:43,btc-updown-15m-1769118300,N/A,STATUS,0.0000,0.00,0.00,0.00,102.29,102.29,0.32,0.33,0.67,0.68,89212.0,89290.3,15.0509,89730.6564,89315.3306,89522.9935,0.0046,-0.2488,32.9149,0.0,89383.209,-54.7192,-205.2194,14.1117,-0.3615,89137.2333
2026-01-22 14:46:54,btc-updown-15m-1769118300,N/A,STATUS,0.0000,0.00,0.00,0.00,102.29,102.29,0.33,0.34,0.66,0.67,89215.48,89290.3,15.1658,89729.7362,89316.5988,89523.1675,0.0046,-0.2448,32.6663,0.0,89383.209,-54.4416,-204.4871,14.1117,-0.3576,89137.2333
2026-01-22 14:47:05,btc-updown-15m-1769118300,N/A,STATUS,0.0000,0.00,0.00,0.00,102.29,102.29,0.34,0.35,0.65,0.66,89218.0,89290.3,21.8568,89724.1586,89290.8624,89507.5105,0.0048,-0.1682,38.1781,0.0,89383.1949,-62.6144,-173.8629,3.1728,-0.3548,89137.2333
2026-01-22 14:47:16,btc-updown-15m-1769118300,N/A,STATUS,0.0000,0.00,0.00,0.00,102.29,102.29,0.33,0.34,0.66,0.67,89225.46,89290.3,22.1669,89722.4485,89293.3185,89507.8835,0.0048,-0.1581,37.6452,0.0,89383.1949,-62.0193,-171.8557,3.1728,-0.3464,89137.2333
2026-01-22 14:47:26,btc-updown-15m-1769118300,N/A,STATUS,0.0000,0.00,0.00,0.00,102.29,102.29,0.32,0.33,0.67,0.68,89214.79,89290.3,21.726,89724.904,89289.796,89507.35,0.0049,-0.1724,38.4074,0.0,89383.1949,-62.8705,-174.7138,3.1728,-0.3583,89137.2333
2026-01-22 14:47:37,btc-updown-15m-1769118300,N/A,STATUS,0.0000,0.00,0.00,0.00,102.29,102.29,0.32,0.33,0.67,0.68,89214.99,89290.3,21.7341,89724.8574,89289.8626,89507.36,0.0049,-0.1721,38.3931,0.0,89383.1949,-62.8545,-174.661,3.1728,-0.3581,89137.2333
2026-01-22 14:47:48,btc-updown-15m-1769118300,N/A,STATUS,0.0000,0.00,0.00,0.00,102.29,102.29,0.31,0.32,0.68,0.69,89220.0,89290.3,21.9391,89723.697,89291.524,89507.6105,0.0048,-0.1655,38.0352,0.0,89383.1949,-62.4548,-173.3288,3.1728,-0.3525,89137.2333
2026-01-22 14:47:48,btc-updown-15m-1769118300,UP,BUY,0.3100,7.50,2.33,0.00,100.00,99.97,0.31,0.32,0.68,0.69,89220.0,89290.3,21.9391,89723.697,89291.524,89507.6105,0.0048,-0.1655,38.0352,0.0,89383.1949,-62.4548,-173.3288,3.1728,-0.3525,89137.2333
2026-01-22 14:47:49,btc-updown-15m-1769118300,UP,BUY,0.2900,11.25,3.26,0.00,100.00,96.71,0.31,0.32,0.68,0.69,89220.0,89290.3,21.9391,89723.697,89291.524,89507.6105,0.0048,-0.1655,38.0352,0.0,89383.1949,-62.4548,-173.3288,3.1728,-0.3525,89137.2333
2026-01-22 14:47:59,btc-updown-15m-1769118300,N/A,STATUS,0.0000,0.00,0.00,0.00,96.71,96.71,0.33,0.34,0.66,0.67,89218.0,89290.3,21.8568,89724.1586,89290.8624,89507.5105,0.0048,-0.1682,38.1781,0.0,89383.1949,-62.6144,-173.8629,3.1728,-0.3548,89137.2333
2026-01-22 14:48:10,btc-updown-15m-1769118300,N/A,STATUS,0.0000,0.00,0.00,0.00,96.71,96.71,0.33,0.34,0.66,0.67,89218.0,89290.3,21.5321,89714.0553,89269.3997,89491.7275,0.005,-0.1156,35.9843,0.0,89371.3811,-68.5331,-161.3994,3.288,-0.3653,89137.2333
2026-01-22 14:48:12,btc-updown-15m-1769118300,UP,SELL,0.3700,23.75,8.79,1.55,100.00,105.49,0.33,0.34,0.66,0.67,89218.0,89290.3,21.5321,89714.0553,89269.3997,89491.7275,0.005,-0.1156,35.9843,0.0,89371.3811,-68.5331,-161.3994,3.288,-0.3653,89137.2333
2026-01-22 14:48:20,btc-updown-15m-1769118300,N/A,STATUS,0.0000,0.00,0.00,0.00,105.49,105.49,0.41,0.42,0.58,0.59,89250.0,89290.3,22.9963,89707.6784,89278.9766,89493.3275,0.0048,-0.0676,33.6986,0.0,89373.1862,-65.9804,-152.2429,3.2879,-0.3296,89137.2333
