Timestamp,Market,Side,Action,Price,Size,Total_Value,PnL,Start_Balance,Current_Balance,BTC_Price,Strike_Price,RSI,BB_Upper,BB_Lower,BB_Middle,BB_Width,BB_PctB,ATR,Stoch_K,VWAP,MACD,CCI,MFI,ROC,Pivot
2026-01-21 16:44:58,btc-updown-15m-1769038200,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89465.26,89939.99,19.7582,90297.8455,89460.2315,89879.0385,0.0093,0.006,49.4396,0.0,89951.4363,-119.6618,-124.0423,0.0,-0.4738,89744.09
2026-01-21 16:45:00,btc-updown-15m-1769038200,N/A,MARKET_CLOSE,0.0000,0.00,0.00,0.00,100.00,100.00,89465.26,89939.99,19.7582,90297.8455,89460.2315,89879.0385,0.0093,0.006,49.4396,0.0,89951.4363,-119.6618,-124.0423,0.0,-0.4738,89744.09


2026-01-21 16:45:36,btc-updown-15m-1769039100,N/A,MARKET_START,0.0000,0.00,0.00,0.00,100.00,100.00,89820.38,0.0,47.5877,90251.9144,89487.5696,89869.742,0.0085,0.4354,55.3743,76.3814,89736.553,-96.0117,-17.4583,6.1819,0.079,89744.09
2026-01-21 16:45:36,btc-updown-15m-1769039100,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89820.38,0.0,47.5877,90251.9144,89487.5696,89869.742,0.0085,0.4354,55.3743,76.3814,89736.553,-96.0117,-17.4583,6.1819,0.079,89744.09
2026-01-21 16:45:47,btc-updown-15m-1769039100,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89493.53,0.0,20.402,90270.7904,89436.0086,89853.3995,0.0093,0.0689,61.5993,0.0,89723.0951,-122.0852,-85.7911,6.1679,-0.2852,89744.09
2026-01-21 16:45:57,btc-updown-15m-1769039100,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89465.25,0.0,19.5046,90274.6677,89429.3033,89851.9855,0.0094,0.0425,63.6193,0.0,89721.9307,-124.3411,-91.1702,6.1666,-0.3167,89744.09
2026-01-21 16:46:08,btc-updown-15m-1769039100,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89437.59,0.0,30.9553,90244.2866,89426.7834,89835.535,0.0091,0.0132,78.7611,0.0,89736.553,-114.1379,-95.974,6.1961,-0.3475,89744.09
2026-01-21 16:46:18,btc-updown-15m-1769039100,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89425.4,0.0,30.6145,90246.2041,89423.6469,89834.9255,0.0092,0.0021,79.6318,0.0,89736.553,-115.1103,-98.328,6.1961,-0.3611,89744.09
2026-01-21 16:46:28,btc-updown-15m-1769039100,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89429.63,0.0,30.7319,90245.5323,89424.7417,89835.137,0.0091,0.006,79.3297,0.0,89734.595,-114.7729,-101.5951,6.1325,-0.3564,89744.09
2026-01-21 16:46:38,btc-updown-15m-1769039100,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89483.39,0.0,32.3063,90237.6041,89438.0459,89837.825,0.0089,0.0567,75.4897,0.0,89734.9626,-110.4843,-91.1846,6.1325,-0.2965,89744.09
2026-01-21 16:46:48,btc-updown-15m-1769039100,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89456.16,0.0,31.4892,90241.4762,89431.4508,89836.4635,0.009,0.0305,77.4347,0.0,89734.7764,-112.6565,-96.5129,6.1325,-0.3268,89744.09
2026-01-21 16:46:58,btc-updown-15m-1769039100,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89435.44,0.0,30.8946,90244.6207,89426.2343,89835.4275,0.0091,0.0112,78.9147,0.0,89734.6347,-114.3094,-100.4915,6.1325,-0.3499,89744.09
2026-01-21 16:47:09,btc-updown-15m-1769039100,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89478.86,0.0,31.4795,90198.5724,89442.2196,89820.396,0.0084,0.0484,71.9502,0.0,89736.9748,-102.8134,-91.4436,6.1324,-0.3016,89744.09
2026-01-21 16:47:19,btc-updown-15m-1769039100,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89497.01,0.0,32.0614,90196.1011,89446.5059,89821.3035,0.0083,0.0674,70.6537,0.0,89736.9748,-101.3656,-87.6114,6.1324,-0.2813,89744.09
