Timestamp,Market,Side,Action,Price,Size,Total_Value,PnL,Start_Balance,Current_Balance,BTC_Price,Strike_Price,UP_Bid,UP_Ask,DOWN_Bid,DOWN_Ask,RSI,BB_Upper,BB_Lower,BB_Middle,BB_Width,BB_PctB,ATR,Stoch_K,VWAP,MACD,CCI,MFI,ROC,Pivot
2026-01-24 20:19:40,btc-updown-15m-1769310900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88890.0,0.0,0.09,0.1,0.9,0.91,9.504,89262.7932,88997.2748,89130.034,0.003,-0.404,14.7492,-100.878,89156.3414,-37.0477,-203.8173,83.285,-0.2861,89071.48
2026-01-24 20:19:51,btc-updown-15m-1769310900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88920.0,0.0,0.13,0.14,0.86,0.87,10.5137,89253.0782,89009.9898,89131.534,0.0027,-0.3702,14.7492,-79.9721,89147.6949,-34.6545,-197.192,76.2427,-0.2524,89071.48
2026-01-24 20:20:01,btc-updown-15m-1769310900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88917.26,0.0,0.12,0.13,0.87,0.88,10.0536,89253.3141,88998.8799,89126.097,0.0029,-0.3208,13.6957,-81.8815,89144.7816,-37.9591,-168.4459,70.2916,-0.2555,89044.68
2026-01-24 20:20:12,btc-updown-15m-1769310900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88889.51,88999.24,0.07,0.08,0.92,0.93,9.1298,89261.7434,88987.6756,89124.7095,0.0031,-0.3582,13.6957,-101.2195,89144.7816,-40.1727,-175.7496,70.2916,-0.2866,89044.68
2026-01-24 20:20:22,btc-updown-15m-1769310900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88879.99,88999.24,0.07,0.08,0.92,0.93,8.8507,89264.7298,88983.7372,89124.2335,0.0032,-0.3692,13.6957,-107.8537,89144.7816,-40.9322,-178.1319,70.2916,-0.2973,89044.68
2026-01-24 20:20:32,btc-updown-15m-1769310900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88879.99,88999.24,0.08,0.09,0.91,0.92,8.8507,89264.7298,88983.7372,89124.2335,0.0032,-0.3692,13.6957,-107.8537,89144.7816,-40.9322,-178.1319,70.2916,-0.2973,89044.68
2026-01-24 20:20:43,btc-updown-15m-1769310900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88879.98,88999.24,0.07,0.08,0.92,0.93,8.8507,89264.7298,88983.7372,89124.2335,0.0032,-0.3692,13.6957,-107.8537,89144.7816,-40.9322,-178.1319,70.2916,-0.2973,89044.68
2026-01-24 20:20:53,btc-updown-15m-1769310900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88878.59,88999.24,0.07,0.08,0.92,0.93,8.8111,89265.1726,88983.1544,89124.1635,0.0032,-0.3708,13.6957,-108.8293,89144.7816,-41.0438,-178.477,70.2916,-0.2989,89044.68
2026-01-24 20:21:04,btc-updown-15m-1769310900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88874.86,88999.24,0.06,0.07,0.93,0.94,8.7073,89266.3569,88981.5971,89123.977,0.0032,-0.3748,13.6957,-111.4286,89144.7816,-41.3414,-179.3902,70.2916,-0.303,89044.68
2026-01-24 20:21:14,btc-updown-15m-1769310900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88853.01,88999.24,0.05,0.06,0.94,0.95,7.7968,89266.3069,88965.4231,89115.865,0.0034,-0.3736,15.5295,-101.184,89144.7187,-45.1899,-189.9805,0.3338,-0.3275,89049.63
