Timestamp,Market,Side,Action,Price,Size,Total_Value,PnL,Start_Balance,Current_Balance,BTC_Price,Strike_Price,UP_Bid,UP_Ask,DOWN_Bid,DOWN_Ask,RSI,BB_Upper,BB_Lower,BB_Middle,BB_Width,BB_PctB,ATR,Stoch_K,VWAP,MACD,CCI,MFI,ROC,Pivot
2026-01-22 15:50:31,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89224.48,89169.42,0.67,0.68,0.32,0.33,34.5993,89455.4133,89172.6117,89314.0125,0.0032,0.1834,27.7146,1.1788,89339.8201,-23.6434,-45.817,92.0233,-0.0419,89137.2333
2026-01-22 15:50:41,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89220.57,89169.42,0.64,0.65,0.35,0.36,34.2385,89455.7489,89171.8851,89313.817,0.0032,0.1715,27.9939,0.0,89339.8201,-23.9553,-48.1461,92.0233,-0.0462,89137.2333
2026-01-22 15:50:51,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89220.57,89169.42,0.68,0.69,0.31,0.32,34.2385,89455.7489,89171.8851,89313.817,0.0032,0.1715,27.9939,0.0,89339.8201,-23.9553,-48.1461,92.0233,-0.0462,89137.2333
2026-01-22 15:51:01,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89232.72,89169.42,0.75,0.76,0.24,0.25,35.3842,89454.7718,89174.0762,89314.424,0.0031,0.2089,27.1267,7.3579,89339.8201,-22.9869,-40.8838,92.0233,-0.0326,89137.2333
2026-01-22 15:51:12,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89237.61,89169.42,0.75,0.76,0.24,0.25,34.9778,89440.9369,89180.7801,89310.8585,0.0029,0.2184,25.4686,11.0369,89339.8201,-19.2007,-36.8277,92.0105,-0.0145,89137.2333
2026-01-22 15:51:23,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89237.61,89169.42,0.76,0.77,0.23,0.24,34.9778,89440.9369,89180.7801,89310.8585,0.0029,0.2184,25.4686,11.0369,89339.8201,-19.2007,-36.8277,92.0105,-0.0145,89137.2333
2026-01-22 15:51:33,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89244.68,89169.42,0.76,0.77,0.23,0.24,34.9778,89440.9369,89180.7801,89310.8585,0.0029,0.2184,25.4686,11.0369,89339.8201,-19.2007,-36.8277,92.0105,-0.0145,89137.2333
2026-01-22 15:51:43,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89247.39,89169.42,0.8,0.81,0.19,0.2,36.0113,89440.3354,89182.3596,89311.3475,0.0029,0.2521,24.7701,18.3798,89339.8201,-18.4205,-30.4324,92.0105,-0.0035,89137.2333
2026-01-22 15:51:53,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89247.39,89169.42,0.81,0.82,0.18,0.19,36.0113,89440.3354,89182.3596,89311.3475,0.0029,0.2521,24.7701,18.3798,89339.8201,-18.4205,-30.4324,92.0105,-0.0035,89137.2333
2026-01-22 15:52:03,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89257.63,89169.42,0.82,0.83,0.17,0.18,36.3037,89425.0089,89191.0891,89308.049,0.0026,0.2845,22.824,26.068,89339.8201,-14.8324,-21.5471,92.0105,0.008,89137.2333
