Timestamp,Market,Side,Action,Price,Size,Total_Value,PnL,Start_Balance,Current_Balance,BTC_Price,Strike_Price,UP_Bid,UP_Ask,DOWN_Bid,DOWN_Ask,RSI,BB_Upper,BB_Lower,BB_Middle,BB_Width,BB_PctB,ATR,Stoch_K,VWAP,MACD,CCI,MFI,ROC,Pivot
2026-01-25 15:02:54,btc-updown-15m-1769378400,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,86258.01,0.0,0.0,0.0,0.0,0.0,22.61,86767.4132,86389.1388,86578.276,0.0044,-0.3466,58.4553,0.0,86427.2148,-58.0945,-228.5759,5.8463,-0.4381,89460.2967
2026-01-25 15:02:54,btc-updown-15m-1769378400,UP,BUY,0.1500,33.33,5.00,0.00,100.00,95.00,86258.01,0.0,0.0,0.0,0.0,0.0,22.61,86767.4132,86389.1388,86578.276,0.0044,-0.3466,58.4553,0.0,86427.2148,-58.0945,-228.5759,5.8463,-0.4381,89460.2967
2026-01-25 15:03:04,btc-updown-15m-1769378400,N/A,STATUS,0.0000,0.00,0.00,0.00,95.00,95.00,86263.66,0.0,0.13,0.14,0.86,0.87,23.1316,86775.695,86364.376,86570.0355,0.0048,-0.2064,53.8101,0.0,86462.1171,-67.8792,-222.7141,5.8246,-0.307,89460.2967
2026-01-25 15:03:14,btc-updown-15m-1769378400,N/A,STATUS,0.0000,0.00,0.00,0.00,95.00,95.00,86288.0,0.0,0.15,0.16,0.84,0.85,23.4611,86773.6068,86367.3162,86570.4615,0.0047,-0.1952,53.2016,0.0,86462.1171,-67.1995,-218.8664,5.8246,-0.2971,89460.2967
2026-01-25 15:03:24,btc-updown-15m-1769378400,N/A,STATUS,0.0000,0.00,0.00,0.00,95.00,95.00,86349.8,0.0,0.25,0.26,0.74,0.75,25.4997,86762.6895,86383.0155,86572.8525,0.0044,-0.1243,57.1451,0.0,86461.9242,-63.3848,-171.956,6.1296,-0.2419,89460.2967
2026-01-25 15:03:35,btc-updown-15m-1769378400,N/A,STATUS,0.0000,0.00,0.00,0.00,95.00,95.00,86376.67,0.0,0.28,0.29,0.71,0.72,28.7157,86754.6027,86395.1873,86574.895,0.0042,-0.0515,56.6594,7.735,86461.9971,-60.1261,-146.3727,6.1454,-0.1947,89460.2967
2026-01-25 15:03:45,btc-updown-15m-1769378400,N/A,STATUS,0.0000,0.00,0.00,0.00,95.00,95.00,86400.98,0.0,0.33,0.34,0.66,0.67,32.3707,86749.6653,86403.0297,86576.3475,0.004,0.0078,56.6594,17.9441,86461.9757,-57.8088,-131.2495,6.4486,-0.1611,89460.2967
2026-01-25 15:03:56,btc-updown-15m-1769378400,N/A,STATUS,0.0000,0.00,0.00,0.00,95.00,95.00,86397.98,0.0,0.32,0.33,0.67,0.68,31.434,86750.9093,86401.0117,86575.9605,0.004,-0.0087,56.6594,15.224,86461.9511,-58.4262,-135.3164,6.4486,-0.17,89460.2967
2026-01-25 15:04:07,btc-updown-15m-1769378400,N/A,STATUS,0.0000,0.00,0.00,0.00,95.00,95.00,86391.75,0.0,0.31,0.32,0.68,0.69,35.2208,86752.3976,86390.7114,86571.5545,0.0042,0.0029,59.3159,13.0346,86430.0571,-59.6606,-139.4296,6.4779,-0.2682,89460.2967
2026-01-25 15:04:17,btc-updown-15m-1769378400,N/A,STATUS,0.0000,0.00,0.00,0.00,95.00,95.00,86364.17,0.0,0.25,0.26,0.74,0.75,34.525,86754.7096,86387.0004,86570.855,0.0042,-0.0251,60.3152,8.1181,86430.0571,-60.7766,-146.932,6.4779,-0.2844,89460.2967
2026-01-25 15:04:27,btc-updown-15m-1769378400,N/A,STATUS,0.0000,0.00,0.00,0.00,95.00,95.00,86363.79,0.0,0.23,0.24,0.76,0.77,34.525,86754.7096,86387.0004,86570.855,0.0042,-0.0251,60.3152,8.1181,86430.0571,-60.7766,-146.932,6.4779,-0.2844,89460.2967
2026-01-25 15:04:39,btc-updown-15m-1769378400,N/A,STATUS,0.0000,0.00,0.00,0.00,95.00,95.00,86354.47,0.0,0.22,0.23,0.77,0.78,33.4256,86758.9114,86380.4696,86569.6905,0.0044,-0.0687,61.9788,0.0,86430.0571,-62.6345,-159.2149,6.4779,-0.3113,89460.2967
2026-01-25 15:04:48,btc-updown-15m-1769378400,N/A,STATUS,0.0000,0.00,0.00,0.00,95.00,95.00,86365.52,0.0,0.24,0.25,0.75,0.76,34.105,86756.2326,86384.6054,86570.419,0.0043,-0.0419,60.938,5.0536,86430.0571,-61.4722,-151.5608,6.4779,-0.2944,89460.2967
2026-01-25 15:04:59,btc-updown-15m-1769378400,N/A,STATUS,0.0000,0.00,0.00,0.00,95.00,95.00,86371.55,0.0,0.26,0.27,0.73,0.74,34.2249,86755.7879,86385.3011,86570.5445,0.0043,-0.0371,60.7588,5.9357,86430.0571,-61.272,-150.2322,6.4779,-0.2915,89460.2967
