Timestamp,Market,Side,Action,Price,Size,Total_Value,PnL,Start_Balance,Current_Balance,BTC_Price,Strike_Price,UP_Bid,UP_Ask,DOWN_Bid,DOWN_Ask,RSI,BB_Upper,BB_Lower,BB_Middle,BB_Width,BB_PctB,ATR,Stoch_K,VWAP,MACD,CCI,MFI,ROC,Pivot
2026-01-24 21:57:14,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88920.73,88927.58,0.0,0.0,0.0,0.0,14.5456,89155.6716,89004.1854,89079.9285,0.0017,-0.5509,15.228,0.0,89085.5656,-0.675,-222.0222,100.0,-0.1842,89460.2967
2026-01-24 21:57:24,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88904.62,88927.58,0.09,0.1,0.9,0.91,13.5132,89162.0012,88996.2448,89079.123,0.0019,-0.5528,16.3787,0.0,89085.5656,-1.9601,-239.4312,100.0,-0.2022,89460.2967
2026-01-24 21:57:34,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88904.63,88927.58,0.09,0.1,0.9,0.91,13.5132,89162.0012,88996.2448,89079.123,0.0019,-0.5528,16.3787,0.0,89085.5656,-1.9601,-239.4312,100.0,-0.2022,89460.2967
2026-01-24 21:57:44,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88904.62,88927.58,0.08,0.09,0.91,0.92,13.5138,89161.9973,88996.2497,89079.1235,0.0019,-0.5528,16.378,0.0,89085.5656,-1.9593,-239.4205,100.0,-0.2022,89460.2967
2026-01-24 21:57:54,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88907.9,88927.58,0.07,0.08,0.92,0.93,13.7114,89160.7115,88997.8625,89079.287,0.0018,-0.5524,16.1445,0.0,89085.5656,-1.6984,-235.931,100.0,-0.1986,89460.2967
2026-01-24 21:58:04,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88905.32,88927.58,0.05,0.06,0.94,0.95,13.5556,89161.722,88996.595,89079.1585,0.0019,-0.5527,16.328,0.0,89085.5656,-1.9035,-238.6754,100.0,-0.2014,89460.2967
2026-01-24 21:58:14,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88905.33,88927.58,0.06,0.07,0.93,0.94,12.7692,89159.6814,88996.5236,89078.1025,0.0018,-0.559,16.086,0.0,89085.5656,-2.7283,-275.5617,100.0,-0.2015,89460.2967
2026-01-24 21:58:24,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88907.88,88927.58,0.05,0.06,0.94,0.95,12.9181,89158.664,88997.798,89078.231,0.0018,-0.5589,15.9024,0.0,89085.5656,-2.5232,-272.4709,100.0,-0.1986,89460.2967
2026-01-24 21:58:34,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88907.89,88927.58,0.04,0.05,0.95,0.96,12.9181,89158.664,88997.798,89078.231,0.0018,-0.5589,15.9024,0.0,89044.4108,-2.5232,-303.9085,6.866,-0.1986,89460.2967
2026-01-24 21:58:44,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88904.91,88927.58,0.03,0.04,0.96,0.97,12.9175,89158.668,88997.793,89078.2305,0.0018,-0.5589,15.9031,0.0,89044.4088,-2.524,-303.9199,6.866,-0.1986,89460.2967
2026-01-24 21:58:54,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88903.45,88927.58,0.03,0.04,0.96,0.97,12.6631,89160.4217,88995.5963,89078.009,0.0019,-0.5591,16.2196,0.0,89043.5157,-2.8774,-308.9266,6.8662,-0.2036,89460.2967
2026-01-24 21:59:04,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88898.82,88927.58,0.02,0.03,0.97,0.98,11.9812,89160.4811,88989.2209,89074.851,0.0019,-0.5164,15.91,0.0,89068.0299,-7.1773,-317.1709,6.86,-0.2083,89460.2967
2026-01-24 21:59:15,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88878.43,88927.58,0.01,0.02,0.98,0.99,10.8791,89168.9761,88978.4899,89073.733,0.0021,-0.5253,17.5072,0.0,89068.0299,-8.961,-342.3995,6.86,-0.2334,89460.2967
2026-01-24 21:59:25,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88875.04,88927.58,0.0,0.01,0.99,1.0,10.7295,89170.2708,88976.8562,89073.5635,0.0022,-0.5264,17.7493,0.0,89068.0299,-9.2314,-346.1155,6.86,-0.2372,89460.2967
2026-01-24 21:59:35,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88865.34,88927.58,0.0,0.01,0.99,1.0,10.7291,89170.2747,88976.8513,89073.563,0.0022,-0.5264,17.75,0.0,88949.4946,-9.2322,-363.9429,0.6031,-0.2372,89460.2967
2026-01-24 21:59:45,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88865.34,88927.58,0.0,0.01,0.99,1.0,10.3233,89173.9841,88972.1729,89073.0785,0.0023,-0.5294,18.4422,0.0,88944.4418,-10.0052,-374.0398,0.6032,-0.2481,89460.2967
2026-01-24 21:59:56,btc-updown-15m-1769316300,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88875.51,88927.58,0.0,0.01,0.99,1.0,10.75,89170.0912,88977.0828,89073.587,0.0022,-0.5263,17.7158,0.0,88949.7449,-9.194,-363.4372,0.6031,-0.2367,89460.2967
2026-01-24 22:00:00,btc-updown-15m-1769316300,N/A,MARKET_CLOSE,0.0000,0.00,0.00,0.00,100.00,100.00,88875.51,88927.58,0.0,0.01,0.99,1.0,10.75,89170.0912,88977.0828,89073.587,0.0022,-0.5263,17.7158,0.0,88949.7449,-9.194,-363.4372,0.6031,-0.2367,89460.2967


2026-01-24 22:00:16,btc-updown-15m-1769317200,N/A,MARKET_START,0.0000,0.00,0.00,0.00,100.00,100.00,88999.3,88875.25,,,,,21.6376,89132.4178,89017.7532,89075.0855,0.0013,-0.1609,8.2398,0.0,89014.2948,-4.6118,-196.2993,0.6026,-0.0977,89460.2967
2026-01-24 22:01:09,btc-updown-15m-1769317200,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88852.23,88875.25,0.0,0.0,0.0,0.0,9.1035,89179.7898,88943.5402,89061.665,0.0027,-0.3865,19.0154,0.0,89013.4945,-22.1331,-358.8794,0.5829,-0.2628,89460.2967
2026-01-24 22:01:19,btc-updown-15m-1769317200,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88852.23,88875.25,0.34,0.35,0.65,0.66,9.1035,89179.7898,88943.5402,89061.665,0.0027,-0.3865,19.0154,0.0,89013.3757,-22.1331,-358.8794,0.5822,-0.2628,89460.2967
2026-01-24 22:01:29,btc-updown-15m-1769317200,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88852.22,88875.25,0.34,0.35,0.65,0.66,9.1031,89179.793,88943.536,89061.6645,0.0027,-0.3865,19.0161,0.0,89013.3757,-22.1339,-358.8891,0.5822,-0.2628,89460.2967
2026-01-24 22:01:39,btc-updown-15m-1769317200,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88849.7,88875.25,0.35,0.36,0.64,0.65,9.0121,89180.6125,88942.4635,89061.538,0.0027,-0.3896,21.7318,0.0,89013.3042,-22.3358,-343.9956,0.5817,-0.2656,89460.2967
2026-01-24 22:01:49,btc-updown-15m-1769317200,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,88846.13,88875.25,0.34,0.35,0.65,0.66,8.887,89181.7711,88940.9489,89061.36,0.0027,-0.3937,21.9861,0.0,89013.3001,-22.6197,-347.521,0.5817,-0.2696,89460.2967
